date,Czechia,Estonia,Poland,Romania
31.03.2010,92.13,86.15,91.77,85.62
30.06.2010,92.80,87.65,92.67,86.19
30.09.2010,92.90,88.39,92.70,88.86
31.12.2010,92.70,89.66,93.47,90.23
31.03.2011,93.90,90.67,95.10,92.08
30.06.2011,94.53,92.28,96.40,93.34
30.09.2011,94.80,93.17,96.10,92.62
31.12.2011,95.30,93.61,97.43,93.31
31.03.2012,97.63,94.84,99.03,94.53
30.06.2012,98.10,96.22,100.20,95.26
30.09.2012,98.07,97.02,99.87,96.47
31.12.2012,98.10,97.25,100.10,97.66
31.03.2013,99.33,98.48,100.30,99.08
30.06.2013,99.57,99.78,100.73,99.46
30.09.2013,99.27,100.28,100.73,98.76
31.12.2013,99.20,99.30,100.70,98.88
31.03.2014,99.63,99.59,100.93,100.32
30.06.2014,99.77,100.38,101.03,100.74
30.09.2014,99.93,100.29,100.57,100.29
31.12.2014,99.67,99.48,100.27,100.31
31.03.2015,99.63,99.34,99.73,100.87
30.06.2015,100.47,100.79,100.40,101.09
30.09.2015,100.27,100.28,100.10,98.75
31.12.2015,99.67,99.59,99.77,99.29
31.03.2016,100.07,99.64,99.43,98.83
30.06.2016,100.43,100.59,99.77,98.94
30.09.2016,100.80,101.49,99.67,98.69
31.12.2016,101.17,101.16,100.17,99.21
31.03.2017,102.57,102.72,101.13,99.24
30.06.2017,102.93,104.34,101.50,99.58
30.09.2017,103.23,105.57,101.13,99.63
31.12.2017,103.67,105.29,101.93,101.56
31.03.2018,104.33,106.03,102.13,102.93
30.06.2018,105.07,107.77,102.67,104.10
30.09.2018,105.57,109.23,102.57,104.19
31.12.2018,105.50,109.16,103.10,105.09
31.03.2019,106.77,108.46,103.33,106.85
30.06.2019,107.63,110.97,104.97,108.53
30.09.2019,108.30,111.56,105.17,108.26
31.12.2019,108.63,111.00,105.77,108.96
31.03.2020,110.70,110.13,107.37,110.20
30.06.2020,111.13,109.37,108.50,110.77
30.09.2020,112.07,110.10,109.10,110.80
31.12.2020,111.57,109.59,109.60,110.90
31.03.2021,113.10,110.75,111.53,112.76
30.06.2021,114.20,112.48,113.50,114.22
30.09.2021,115.73,116.06,114.67,115.60
31.12.2021,117.17,119.60,117.57,118.25
