date,Czechia,Estonia,Poland,Romania
31.03.2013,7.0,8.6,10.6,9.0
30.06.2013,6.8,8.3,10.3,8.9
30.09.2013,6.6,8.0,9.9,8.8
31.12.2013,6.3,7.6,9.6,8.7
31.03.2014,6.1,7.3,9.2,8.6
30.06.2014,5.9,7.1,8.8,8.6
30.09.2014,5.6,6.9,8.5,8.5
31.12.2014,5.4,6.6,8.1,8.5
31.03.2015,5.1,6.4,7.7,8.4
30.06.2015,4.8,6.5,7.4,8.1
30.09.2015,4.6,6.6,7.0,7.8
31.12.2015,4.3,6.7,6.7,7.5
31.03.2016,4.0,6.8,6.3,7.2
30.06.2016,3.7,6.6,6.0,6.9
30.09.2016,3.5,6.3,5.7,6.7
31.12.2016,3.2,6.1,5.3,6.4
31.03.2017,2.9,5.8,5.0,6.1
30.06.2017,2.7,5.7,4.7,5.9
30.09.2017,2.6,5.6,4.5,5.7
31.12.2017,2.4,5.5,4.2,5.5
31.03.2018,2.2,5.4,3.9,5.3
30.06.2018,2.2,5.2,3.8,5.2
30.09.2018,2.1,5.0,3.6,5.1
31.12.2018,2.1,4.7,3.5,5.0
31.03.2019,2.0,4.5,3.3,4.9
30.06.2019,2.2,5.1,3.3,5.2
30.09.2019,2.3,5.7,3.3,5.5
31.12.2019,2.5,6.3,3.2,5.8
31.03.2020,2.6,6.9,3.2,6.1
30.06.2020,2.7,6.7,3.3,6.0
30.09.2020,2.7,6.6,3.3,5.9
31.12.2020,2.8,6.4,3.4,5.7
31.03.2021,2.8,6.2,3.4,5.6
30.06.2021,2.7,6.1,3.3,5.6
30.09.2021,2.5,5.9,3.2,5.6
31.12.2021,2.4,5.8,3.0,5.6
