date,value
31.03.2010,94.77
30.06.2010,95.17
30.09.2010,96.17
31.12.2010,99.37
31.03.2011,102.07
30.06.2011,105.37
30.09.2011,104.30
31.12.2011,104.40
31.03.2012,105.03
30.06.2012,105.00
30.09.2012,104.27
31.12.2012,104.20
31.03.2013,104.53
30.06.2013,104.57
30.09.2013,103.97
31.12.2013,104.43
31.03.2014,106.27
30.06.2014,114.80
30.09.2014,119.23
31.12.2014,127.60
31.03.2015,144.90
30.06.2015,182.47
30.09.2015,182.80
31.12.2015,185.60
31.03.2016,189.50
30.06.2016,197.10
30.09.2016,197.57
31.12.2016,208.40
31.03.2017,215.90
30.06.2017,224.27
30.09.2017,229.43
31.12.2017,237.40
31.03.2018,245.67
30.06.2018,250.20
30.09.2018,249.97
31.12.2018,260.50
31.03.2019,267.43
30.06.2019,273.00
30.09.2019,271.20
31.12.2019,274.07
31.03.2020,274.50
30.06.2020,278.63
30.09.2020,277.70
31.12.2020,284.53
31.03.2021,294.80
30.06.2021,304.00
30.09.2021,306.83
31.12.2021,314.17
