date,value
31.03.2010,9
30.06.2010,7.9
30.09.2010,7.1
31.12.2010,8.4
31.03.2011,8.7
30.06.2011,7.7
30.09.2011,6.9
31.12.2011,8.2
31.03.2012,8.4
30.06.2012,7.1
30.09.2012,6.6
31.12.2012,8
31.03.2013,8
30.06.2013,6.9
30.09.2013,6.2
31.12.2013,7.6
31.03.2014,9
30.06.2014,8.2
30.09.2014,9.5
31.12.2014,10.6
31.03.2015,9.6
30.06.2015,8.8
30.09.2015,8.6
31.12.2015,9.5
31.03.2016,9.9
30.06.2016,9
30.09.2016,8.8
31.12.2016,9.7
31.03.2017,10.1
30.06.2017,9.1
30.09.2017,8.9
31.12.2017,9.9
31.03.2018,9.7
30.06.2018,8.3
30.09.2018,8
31.12.2018,9.3
31.03.2019,9.1
30.06.2019,7.7
30.09.2019,7.2
31.12.2019,8.7
31.03.2020,8.5
30.06.2020,9.8
30.09.2020,9.5
31.12.2020,10.1
31.03.2021,10.4
30.06.2021,9.3
30.09.2021,9.1
31.12.2021,10.5
